 par_1      , par_2      , par_3      , par_4      , par_5      , f_value    
 +1.0704e+00, +2.8279e+00, +3.2957e+01, +4.0862e+01, +1.6755e+01, -2.5544e+04
 +1.0206e+00, +6.8858e-01, +8.2117e+00, +2.0210e+01, +5.2932e+01, -2.2704e+04
 +7.9605e+00, +7.2050e+00, +2.9361e+01, +1.9528e+00, +3.7643e+01, -2.2501e+04
 +6.1374e+00, +6.5410e+00, +7.8779e+00, +2.4189e+01, +3.3021e+01, -1.9806e+04
 +5.0842e+00, +1.1287e+01, +2.5098e+01, +2.1002e+01, +1.8710e+01, -1.9718e+04
 +2.2577e+00, +5.5082e+00, +5.5794e+00, +1.0704e+01, +6.3599e+01, -1.8177e+04
 +3.8969e+00, +8.6066e+00, +1.2475e+01, +1.1606e+00, +7.1865e+01, -1.7637e+04
 +9.0137e+00, +2.4591e+00, +1.2141e+01, +5.1400e+00, +5.1955e+01, -1.7381e+04
 +9.0636e+00, +4.5984e+00, +3.6886e+01, +2.5792e+01, +1.5778e+01, -1.7154e+04
 +6.6890e+00, +1.1238e+01, +1.1640e+01, +3.6109e+01, +2.2089e+01, -1.6437e+04
 +6.3213e+00, +4.1066e+00, +2.2465e+01, +1.1496e+01, +2.9377e+01, -1.6001e+04
 +8.8797e+00, +7.0328e+00, +2.2299e+01, +3.8486e+01, +1.9422e+01, -1.5569e+04
 +8.1443e+00, +4.7705e+00, +3.9485e+00, +3.9259e+01, +3.3999e+01, -1.1501e+04
 +4.1306e+00, +8.3115e+00, +1.1807e+01, +9.1194e+00, +3.2044e+01, -8.4536e+03
 +5.5859e+00, +1.8443e+00, +4.1154e+00, +1.2270e+01, +4.3954e+01, -6.9903e+03
 +3.4450e+00, +8.1885e+00, +1.8202e+01, +3.0545e+01, +1.0444e+01, -3.8050e+03
 +2.8935e+00, +3.4918e+00, +1.4440e+01, +1.8626e+01, +2.1376e+01, -3.2692e+03
 +3.3503e-01, +5.6563e-01, +1.4607e+01, +4.1636e+01, +3.1332e+01, -1.4891e+03
 +9.8333e+00, +1.0008e+01, +3.5589e+01, +3.6839e-01, +6.0874e+00, -1.3950e+03
 +5.6357e+00, +3.9836e+00, +2.8860e+01, +3.2922e+01, +7.7770e+00, -7.8194e+02
 +6.8230e+00, +6.6640e+00, +1.4831e+00, +2.7634e+00, +5.4621e+01, +1.2879e+03
 +7.0274e-01, +7.6968e+00, +3.7816e+00, +1.6249e+01, +2.4043e+01, +3.5037e+03
 +3.0773e+00, +1.0574e+00, +2.9027e+01, +5.9322e+00, +1.7732e+01, +4.2941e+03
 +8.8659e-01, +5.2623e+00, +1.8369e+01, +3.5556e+00, +2.0399e+01, +5.3143e+03
 +7.4587e+00, +4.6476e+00, +1.0343e+01, +1.0685e+01, +1.2398e+01, +6.5634e+03
 +8.6959e+00, +9.4672e+00, +7.7110e+00, +1.1790e+00, +2.3066e+01, +9.8811e+03
 +2.0240e+00, +5.8033e+00, +6.2470e+00, +2.7449e+00, +3.4205e+00, +9.8819e+03
 +1.2543e+00, +3.9345e-01, +7.5441e+00, +2.8169e+01, +1.3111e+01, +1.0150e+04
 +1.9399e+00, +5.1640e-01, +1.1493e+00, +6.7428e+00, +3.4711e+01, +1.0381e+04
 +3.8127e+00, +3.3197e+00, +7.3772e+00, +5.1584e+00, +3.1555e+00, +1.0670e+04
 +1.4381e+00, +9.9590e+00, +2.2132e+01, +1.5475e+01, +9.4666e+00, +1.1192e+04
 +6.0034e+00, +1.1115e+01, +1.8035e+01, +7.5350e+00, +4.8864e-01, +1.2283e+04
 +8.0103e+00, +9.3443e+00, +1.4106e+01, +2.2605e+01, +1.4659e+00, +1.5888e+04
 +5.4519e+00, +6.4181e+00, +1.4273e+01, +4.5615e+01, +1.1421e+01, +1.6499e+04
 +5.2680e+00, +8.8525e+00, +3.9685e+01, +8.3087e+00, +1.5065e+01, +1.6730e+04
 +5.8196e+00, +1.5492e+00, +3.4478e+00, +2.0228e+01, +4.1328e+00, +1.8343e+04
 +3.6289e+00, +5.7541e+00, +3.2790e+01, +1.7852e+01, +6.7997e+00, +1.8646e+04
 +3.2612e+00, +1.0623e+01, +3.6147e+00, +4.3239e+01, +1.4088e+01, +2.7181e+04
 +7.8265e+00, +1.1779e+01, +3.9518e+01, +3.5298e+01, +5.1101e+00, +3.2488e+04
 +7.6426e+00, +2.2132e+00, +2.4931e+01, +4.7992e+01, +8.7543e+00, +3.7488e+04
 +1.7169e-02, +7.5738e+00, +1.0176e+01, +3.7675e+01, +2.4432e+00, +4.7269e+04
